Year,United States,Canada,Japan,China
1990,19.40733586,15.14896932,8.831598341,1.914546263
1991,19.00338958,14.74096404,8.905499177,2.000543284
1992,19.02284515,15.02813904,8.961503717,2.075740405
1993,19.21833148,14.71330913,8.872832435,2.244842079
1994,19.25618525,15.06050396,9.272836281,2.322189229
1995,19.216897,15.29046634,9.33264314,2.563478759
1996,19.57536656,15.59261401,9.420124526,2.521871874
1997,20.33085305,15.94384836,9.30217362,2.547903664
1998,20.26628688,16.07657167,8.942092563,2.605835732
1999,20.10112278,16.25847341,9.231189045,2.517420763
2000,20.46979674,16.75746674,9.3377238,2.650409102
2001,20.17153693,16.33143678,9.220202282,2.774762197
2002,19.44553028,16.72041069,9.468870493,2.964821228
2003,19.50650553,17.20835919,9.504764403,3.434036479
2004,19.59761671,16.79418597,9.449563638,3.945154871
2005,19.46927252,17.0275681,9.512764042,4.467696361
2006,18.94591684,16.59521392,9.331294289,4.910276197
2007,19.04291178,17.38063077,9.593603175,5.306368006
2008,18.27849126,16.55942629,9.04895325,5.435079096
2009,16.80868142,15.50450587,8.609230985,5.798319938
2010,17.43173699,15.79453766,9.036009995,6.335419767
2011,16.60418962,15.99827172,9.495009896,6.901347326
2012,15.78976015,15.73682394,9.827855738,7.04520023
2013,16.11117526,15.84080976,9.944495272,7.320154925
2014,16.04091676,15.85217722,9.564305918,7.304712872
2015,15.56001544,15.64990728,9.268049646,7.145131535
2016,15.14988272,15.42182253,9.166714407,7.105479936
2017,14.82324544,15.54719472,9.063691208,7.226160154
2018,15.2225181,15.63665416,8.76197885,7.533193134
2019,14.67338071,15.05274694,8.478400575,7.645435786
2020,13.03282795,13.59937492,8.03149587,7.756137907
